3,5,2
3,10,3
3,15,4
3,20,5
3,30,7
3,40,9
3,50,10
3,60,11
5,5,2
5,10,3
5,15,4
5,20,5
5,30,7
5,40,9
5,50,10
5,60,11
7,5,2
7,10,3
7,15,4
7,20,5
7,30,7
7,40,9
7,50,10
7,60,11
10,5,2
10,10,3
10,15,4
10,20,5
10,30,7
10,40,9
10,50,10
10,60,11
15,5,2
15,10,3
15,15,4
15,20,5
15,30,7
15,40,9
15,50,10
15,60,11
20,5,2
20,10,3
20,15,4
20,20,5
20,30,7
20,40,9
20,50,10
20,60,11
30,5,2
30,10,3
30,15,4
30,20,5
30,30,7
30,40,9
30,50,10
30,60,11
40,5,2
40,10,3
40,15,4
40,20,5
40,30,7
40,40,9
40,50,10
40,60,11
50,5,2
50,10,3
50,15,4
50,20,5
50,30,7
50,40,9
50,50,10
50,60,11
60,5,2
60,10,3
60,15,4
60,20,5
60,30,7
60,40,9
60,50,10
60,60,11
70,5,2
70,10,3
70,15,4
70,20,5
70,30,7
70,40,9
70,50,10
70,60,11
